"","stop_name","route_id","Order","X","Y","season","direction_id","number_service_days","time_period_id","time_period_name","on","off","Alt","slider_ref","timeDisplay"
"460","Babcock Street","Green",91,230,340,"Fall 2019",0,77,"time_period_03","AM_PEAK",291,6728,1,3,"07:00 to 09:00"
"461","Babcock Street","Green",91,230,340,"Fall 2019",1,77,"time_period_08","LATE_EVENING",1257,84,1,8,"22:00 to 24:00"
"464","Babcock Street","Green",91,230,340,"Fall 2019",1,77,"time_period_01","VERY_EARLY_MORNING",210,17,1,1,"03:00 to 06:00"
"472","Babcock Street","Green",91,230,340,"Fall 2019",1,77,"time_period_07","EVENING",4427,568,1,7,"18:30 to 22:00"
"473","Babcock Street","Green",91,230,340,"Fall 2019",0,77,"time_period_02","EARLY_AM",14,735,1,2,"06:00 to 07:00"
"474","Babcock Street","Green",91,230,340,"Fall 2019",1,77,"time_period_03","AM_PEAK",5686,640,1,3,"07:00 to 09:00"
"478","Babcock Street","Green",91,230,340,"Fall 2019",0,77,"time_period_09","NIGHT",69,473,1,9,"24:00 to +03:00"
"480","Babcock Street","Green",91,230,340,"Fall 2019",1,77,"time_period_04","MIDDAY_BASE",11265,1470,1,4,"09:00 to 13:30"
"482","Babcock Street","Green",91,230,340,"Fall 2019",0,77,"time_period_04","MIDDAY_BASE",1003,8524,1,4,"09:00 to 13:30"
"483","Babcock Street","Green",91,230,340,"Fall 2019",1,77,"time_period_05","MIDDAY_SCHOOL",6342,579,1,5,"13:30 to 16:00"
"484","Babcock Street","Green",91,230,340,"Fall 2019",1,77,"time_period_06","PM_PEAK",7365,677,1,6,"16:00 to 18:30"
"485","Babcock Street","Green",91,230,340,"Fall 2019",0,77,"time_period_01","VERY_EARLY_MORNING",0,151,1,1,"03:00 to 06:00"
"487","Back Bay","Orange",13,350,470,"Fall 2019",0,77,"time_period_08","LATE_EVENING",18543,12365,0,8,"22:00 to 24:00"
"490","Back Bay","Orange",13,350,470,"Fall 2019",0,77,"time_period_03","AM_PEAK",28524,321387,0,3,"07:00 to 09:00"
"491","Back Bay","Orange",13,350,470,"Fall 2019",0,77,"time_period_07","EVENING",78224,53090,0,7,"18:30 to 22:00"
"498","Back Bay","Orange",13,350,470,"Fall 2019",1,77,"time_period_08","LATE_EVENING",31283,2855,0,8,"22:00 to 24:00"
"499","Back Bay","Orange",13,350,470,"Fall 2019",1,77,"time_period_03","AM_PEAK",144349,133138,0,3,"07:00 to 09:00"
"508","Back Bay","Orange",13,350,470,"Fall 2019",1,77,"time_period_05","MIDDAY_SCHOOL",108204,46051,0,5,"13:30 to 16:00"
"509","Back Bay","Orange",13,350,470,"Fall 2019",0,77,"time_period_04","MIDDAY_BASE",44882,196316,0,4,"09:00 to 13:30"
"511","Back Bay","Orange",13,350,470,"Fall 2019",1,77,"time_period_07","EVENING",135289,16860,0,7,"18:30 to 22:00"
"512","Back Bay","Orange",13,350,470,"Fall 2019",0,77,"time_period_01","VERY_EARLY_MORNING",578,14051,0,1,"03:00 to 06:00"
"514","Back Bay","Orange",13,350,470,"Fall 2019",0,77,"time_period_09","NIGHT",2817,1103,0,9,"24:00 to +03:00"
"520","Back Bay","Orange",13,350,470,"Fall 2019",1,77,"time_period_04","MIDDAY_BASE",118246,93299,0,4,"09:00 to 13:30"
"525","Back Bay","Orange",13,350,470,"Fall 2019",0,77,"time_period_06","PM_PEAK",128549,163232,0,6,"16:00 to 18:30"
"528","Back Bay","Orange",13,350,470,"Fall 2019",1,77,"time_period_09","NIGHT",4381,308,0,9,"24:00 to +03:00"
"530","Back Bay","Orange",13,350,470,"Fall 2019",0,77,"time_period_02","EARLY_AM",5317,57116,0,2,"06:00 to 07:00"
"534","Back Bay","Orange",13,350,470,"Fall 2019",1,77,"time_period_06","PM_PEAK",342673,46327,0,6,"16:00 to 18:30"
"535","Back Bay","Orange",13,350,470,"Fall 2019",1,77,"time_period_02","EARLY_AM",25516,30170,0,2,"06:00 to 07:00"
"537","Back Bay","Orange",13,350,470,"Fall 2019",1,77,"time_period_01","VERY_EARLY_MORNING",1806,6187,0,1,"03:00 to 06:00"
"540","Back Bay","Orange",13,350,470,"Fall 2019",0,77,"time_period_05","MIDDAY_SCHOOL",62499,100421,0,5,"13:30 to 16:00"
"541","Back of the Hill","Green",96,220,520,"Fall 2019",1,77,"time_period_05","MIDDAY_SCHOOL",934,56,4,5,"13:30 to 16:00"
"544","Back of the Hill","Green",96,220,520,"Fall 2019",0,77,"time_period_01","VERY_EARLY_MORNING",0,36,4,1,"03:00 to 06:00"
"545","Back of the Hill","Green",96,220,520,"Fall 2019",1,77,"time_period_02","EARLY_AM",158,7,4,2,"06:00 to 07:00"
"550","Back of the Hill","Green",96,220,520,"Fall 2019",1,77,"time_period_07","EVENING",414,38,4,7,"18:30 to 22:00"
"551","Back of the Hill","Green",96,220,520,"Fall 2019",0,77,"time_period_04","MIDDAY_BASE",0,1134,4,4,"09:00 to 13:30"
"552","Back of the Hill","Green",96,220,520,"Fall 2019",0,77,"time_period_09","NIGHT",0,67,4,9,"24:00 to +03:00"
"553","Back of the Hill","Green",96,220,520,"Fall 2019",1,77,"time_period_01","VERY_EARLY_MORNING",40,0,4,1,"03:00 to 06:00"
"555","Back of the Hill","Green",96,220,520,"Fall 2019",0,77,"time_period_07","EVENING",0,2104,4,7,"18:30 to 22:00"
"561","Back of the Hill","Green",96,220,520,"Fall 2019",0,77,"time_period_02","EARLY_AM",0,122,4,2,"06:00 to 07:00"
"566","Back of the Hill","Green",96,220,520,"Fall 2019",0,77,"time_period_06","PM_PEAK",0,3031,4,6,"16:00 to 18:30"
"567","Back of the Hill","Green",96,220,520,"Fall 2019",0,77,"time_period_03","AM_PEAK",0,398,4,3,"07:00 to 09:00"
"572","Back of the Hill","Green",96,220,520,"Fall 2019",0,77,"time_period_08","LATE_EVENING",0,531,4,8,"22:00 to 24:00"
"573","Back of the Hill","Green",96,220,520,"Fall 2019",1,77,"time_period_04","MIDDAY_BASE",1499,68,4,4,"09:00 to 13:30"
"574","Back of the Hill","Green",96,220,520,"Fall 2019",1,77,"time_period_08","LATE_EVENING",74,5,4,8,"22:00 to 24:00"
"576","Back of the Hill","Green",96,220,520,"Fall 2019",1,77,"time_period_09","NIGHT",7,0,4,9,"24:00 to +03:00"
"580","Back of the Hill","Green",96,220,520,"Fall 2019",1,77,"time_period_06","PM_PEAK",1112,60,4,6,"16:00 to 18:30"
"590","Back of the Hill","Green",96,220,520,"Fall 2019",1,77,"time_period_03","AM_PEAK",1540,34,4,3,"07:00 to 09:00"
"594","Back of the Hill","Green",96,220,520,"Fall 2019",0,77,"time_period_05","MIDDAY_SCHOOL",0,1381,4,5,"13:30 to 16:00"
"595","Beachmont","Blue",45,600,220,"Fall 2019",1,77,"time_period_03","AM_PEAK",1961,4905,0,3,"07:00 to 09:00"
"597","Beachmont","Blue",45,600,220,"Fall 2019",0,77,"time_period_09","NIGHT",279,197,0,9,"24:00 to +03:00"
"601","Beachmont","Blue",45,600,220,"Fall 2019",1,77,"time_period_08","LATE_EVENING",567,27807,0,8,"22:00 to 24:00"
